50,25,0,10
50,75,1,3
50,125,0,10
50,175,0,10
50,225,1,3
50,275,0,10
100,25,1,2
100,75,1,2
100,125,0,10
100,225,0,10
100,175,1,3
100,275,0,6
150,25,1,4
150,75,0,10
150,125,1,2
150,175,0,10
150,275,1,3
150,225,0,10
200,25,0,10
200,75,1,3
200,125,0,10
200,175,1,2
200,275,1,3
200,225,0,10
250,25,0,10
250,75,1,2
250,125,1,3
250,175,0,10
250,275,0,10
250,225,1,3
300,25,1,1
300,75,0,10
300,125,0,10
300,175,0,10
300,275,1,3
300,225,0,10
350,25,1,4
350,75,0,10
350,125,1,2
350,175,1,3
350,275,1,3
350,225,0,10
400,25,0,10
400,75,0,10
400,125,1,1
400,175,0,10
400,275,0,10
400,225,0,10
450,25,1,3
450,75,1,4
450,125,1,1
450,175,1,4
450,275,0,10
450,225,0,10
