50,50,0,10
50,100,1,3
50,150,0,10
50,200,0,10
50,250,1,3
50,300,0,10
50,350,0,10
100,50,1,2
100,100,1,2
100,150,0,10
100,200,0,10
100,250,1,3
100,300,0,6
100,350,1,2
150,50,1,4
150,100,0,10
150,150,1,2
150,200,0,10
150,250,1,3
150,300,0,10
150,350,1,4
200,50,0,10
200,100,1,3
200,150,0,10
200,200,1,2
200,250,1,3
200,300,0,10
200,350,0,10
250,50,0,10
250,100,1,2
250,150,1,3
250,200,0,10
250,250,0,10
250,300,1,3
250,350,0,10
300,50,1,1
300,100,0,10
300,150,0,10
300,200,0,10
300,250,1,3
300,300,0,10
300,350,1,1
350,50,1,4
350,100,0,10
350,150,1,2
350,200,1,3
350,250,1,3
350,300,0,10
350,350,1,4
