50,25,0,10
50,75,1,5
50,125,0,10
50,175,0,10
50,225,1,5
50,275,0,10
100,25,1,4
100,75,1,4
100,125,0,10
100,225,0,10
100,175,1,5
100,275,0,6
150,25,1,6
150,75,0,10
150,125,1,4
150,175,0,10
150,275,1,5
150,225,0,10
200,25,0,10
200,75,1,5
200,125,0,10
200,175,1,4
200,275,1,5
200,225,0,10
250,25,0,10
250,75,1,4
250,125,1,5
250,175,0,10
250,275,0,10
250,225,1,5
300,25,1,2
300,75,0,10
300,125,0,10
300,175,0,10
300,275,1,5
300,225,0,10
350,25,1,6
350,75,0,10
350,125,1,4
350,175,1,5
350,275,1,5
350,225,0,10
400,25,0,10
400,75,0,5.5
400,125,1,3
400,175,0,10
400,275,0,10
400,225,0,10
450,25,1,5
450,75,1,5
450,125,1,1
450,175,1,5
450,275,0,10
450,225,0,10
