50,50,0
50,100,0
50,150,1
50,200,1
50,250,0
50,300,1
50,350,1
50,400,1
50,450,0
100,50,1
100,100,0
100,150,1
100,200,1
100,250,1
100,300,0
100,350,1
100,400,1
100,450,1
150,50,1
150,100,1
150,150,0
150,200,1
150,250,1
150,300,0
150,350,0
150,400,1
150,450,1
200,50,0
200,100,1
200,150,0
200,200,1
200,250,1
200,300,0
200,350,0
200,400,1
200,450,1
250,50,0
250,100,1
250,150,1
250,200,0
250,250,1
250,300,0
250,350,1
250,400,1
250,450,1
300,50,1
300,100,0
300,150,0
300,200,1
300,250,1
300,300,0
300,350,1
300,400,1
300,450,0
350,50,1
350,100,0
350,150,1
350,200,0
350,250,1
350,300,1
350,350,1
350,400,1
350,450,0
400,50,0
400,100,0
400,150,0
400,200,0
400,250,0
400,300,1
400,350,0
400,400,1
400,450,1
450,50,1
450,100,0
450,150,1
450,200,0
450,250,1
450,300,1
450,350,1
450,400,1
450,450,0
